leaderID,forceful,enabling,strategic,operational,vitality,productivity,effect
2,0.653778481,0.66838704,0.66374548,0.259765448,-0.369981782,-0.04733392,0.516397779
3,0.153934918,0.579811654,0.336893463,0.098055131,0.640295407,0.150628905,0.608276253
6,0.016185994,0.234290132,0.162609112,0.09269413,-0.718068816,-0.745375927,0.853912564
7,0.563703661,0.118699962,0.474662261,0.194604081,0.21296807,0.639151515,1.045825033
9,0.702019677,0.314898973,0.03384769,0.150235303,0.129311121,-0.005975593,1.949572603
10,0.349125075,0.672543369,0.288002971,0.24240501,0.05656902,-0.566932005,0.946484724
11,0.450536482,0.745685548,0.474208593,0.096271105,1.006650832,0.96446188,1.053763098
12,0.460373763,0.229441601,0.412981811,0.101989502,0.991670946,0.848943311,0.612372436
14,0.2032578,0.09332717,0.379405706,0.064442772,0.404656054,0.131110002,0.957427108
15,NA,NA,NA,NA,0.041589133,-0.682450574,1.010362971
17,0.710156114,0.664404141,0.319472757,0.075690905,0.668309604,0.152949427,0.803637563
27,0.509617236,0.172906379,0.135561177,0.115612914,0.668309604,0.152949427,0.478713554
29,0.491116589,0.457186364,0.318339466,0.175590895,-0.51595357,0.838338775,0.335410197
30,1.069483026,0.837179399,0.267449984,0.108897187,-0.718068816,-0.745375927,0.930949336
31,0.091796397,0.107888259,0.069533906,0.230425952,0.820292009,-0.472658778,0.409267639
32,0.406681629,0.082307937,0.076528121,0.087389319,0.379930362,0.129061879,0.335410197
37,0.315251318,0.442084522,0.648035757,0.147133977,0.653329717,0.037430858,0.375
40,0.095757294,0.094624581,0.206776253,0.027565632,NA,NA,0.755928946
41,0.60918343,0.626139805,0.240930305,0.191193062,-0.669064116,-0.367472346,0.707106781
42,0.234060604,0.080819667,0.2010284,0.090979178,1.006650832,0.96446188,0.692218655
44,0.466638735,0.429589624,0.410923439,0.302743667,0.041589133,-0.682450574,0.433012702
48,0.489634951,0.854310016,0.939477429,0.211376343,NA,NA,1.643167673
53,0.191487344,0.104853191,0.120383901,0.148117406,-1.217361719,-0.786734255,0.62915287
56,0.145941454,0.043181691,0.126732307,0.035968854,0.144291008,0.109542976,1.02824689
57,0.429915328,0.547589487,0.634030564,0.18751003,0.125246082,-0.037323466,0.516397779
62,0.364079052,0.207696617,0.556414526,0.074362872,-0.703088929,-0.629857358,1.656426877
64,NA,NA,NA,NA,-0.718068816,-0.745375927,1.040833
69,0.446118693,0.109889153,0.232128021,0.074211265,-0.20301949,-0.557423556,1.376892637
70,0.244001236,0.377040487,0.18266576,0.098462231,0.320999105,-0.514017106,0.640637703
72,0.010951269,0.118367612,0.196042437,0.008899953,0.144291008,0.109542976,0.546015873
74,0.747123273,0.305746723,0.217782413,0.151100334,0.129311121,-0.005975593,0.461880215
78,0.468032472,0.097579527,0.309971476,0.164628339,0.125246082,-0.037323466,0
79,0.028038451,0.122175389,0.108659555,0.005853774,0.144291008,0.109542976,0.529150262
85,0.056512019,0.085527588,0.044518831,0.095158683,0.68328949,0.268467996,0.180277564
86,0.489028015,0.511435903,0.499595599,0.240292905,-0.091348345,0.090024074,2.077658939
88,0.215106282,0.254739618,0.234007294,0.067979331,-0.615366941,0.046617623,1.089724736
90,1.482077324,0.616175039,0.590911041,0.284577668,0.991670946,0.848943311,3.309078422
94,0.591837152,0.868151007,0.950264826,0.552818679,0.492378042,0.807584983,0.908295106
95,0.738891689,1.24404753,1.009695077,0.244999967,0.407944558,0.131382401,0.381881308
99,0.158027036,0.054558323,0.085816509,0.029112251,-0.106328232,-0.025494496,2.254624876
100,0.235917029,0.118137737,0.220616581,0.005754689,0.144291008,0.109542976,2.157931108
102,0.184533599,0.172242711,0.280003744,0.055732487,-0.374046822,-0.078681794,0.689202438
104,0.409052997,0.348002916,0.19256068,0.107744676,NA,NA,1.124722188
107,0.641077139,0.510184147,0.077829064,0.081070107,0.144291008,0.109542976,0.670820393
108,0.200264081,0.269786651,0.073749728,0.050913564,0.256738689,0.788066081,1.500699242
109,NA,NA,NA,NA,0.144291008,0.109542976,0.763762616
110,0.220735165,0.131557724,0.205360748,0.126678878,0.991670946,0.848943311,0.34503278
111,0.28000484,0.192794363,0.120313375,0.09867674,0.144291008,0.109542976,0.804363102
112,NA,NA,NA,NA,0.085359752,-0.533536008,0.843800924
114,0.414316056,0.59381006,0.215698822,0.144594982,0.041589133,-0.682450574,1.524539275
122,NA,NA,NA,NA,-0.615366941,0.046617623,0.758287544
123,0.362671256,0.250099485,0.114587763,0.070336507,NA,NA,0.273861279
135,0.323126924,0.227061845,0.310960383,0.139975466,0.144291008,0.109542976,0.570087713
149,NA,NA,NA,NA,-0.603675559,0.161863794,0.341565026
150,0.446016922,0.199843544,0.169593766,0.16462431,0.05656902,-0.566932005,0.836660027
151,0.55351196,0.594982313,0.486825363,0.186758155,-0.718068816,-0.745375927,1.290994449
152,0.380868249,0.828096558,1.052546208,0.402383098,0.129311121,-0.005975593,2.042941779
155,0.987193135,0.722645706,0.927277154,0.1700494,-1.257067298,-0.904300947,2.753785274
157,0.23733452,0.249793827,0.267091593,0.078161138,-0.996702253,-0.882733921,0.741619849
160,0.558134819,0.052719834,0.410375828,0.203168632,-0.761839435,-0.894290493,0.577350269
161,1.07959292,0.923210496,0.168394585,0.115960503,-0.649391754,-0.215767389,2.081665999
162,0.419053022,0.284267914,0.262909684,0.083107356,-0.870051221,-0.119767722,2.19455712
164,0.132430641,0.40129567,0.395762228,0.145425293,0.473333115,0.66071854,0.95760117
165,0.567789491,0.419668654,0.073517699,0.14240931,0.42370098,0.277976445,0.449867705
166,0.108698356,0.187241283,0.124279068,0.103957479,-0.457703771,-0.723808902,0.265988722
167,0.516421262,0.303247731,0.369490006,0.063343171,NA,NA,0.670820393
169,0.580855105,0.202734655,0.342140673,0.159387993,-1.242087411,-0.788782378,0.816496581
172,0.188104233,0.284561646,0.301000169,0.093491925,-0.438658844,-0.576942459,0.449867705
182,0.474408743,0.528798151,0.046481699,0.17631188,-0.138407469,-0.059162891,0.979795897
183,0.898236577,0.363967923,0.59672676,0.091281994,0.991670946,0.848943311,0.847791248
190,0.499322282,0.310083372,0.256041757,0.057780538,-0.222064417,-0.704289999,1.927649692
193,0.014490442,0.238986297,0.096391973,0.0056266,0.125246082,-0.037323466,2.362907813
197,0.77972806,0.676811035,0.699764741,0.167820495,-1.344789287,-1.580775928,0.986893274
198,0.031044242,0.429758553,0.389195677,0.158801085,0.144291008,0.109542976,1.892969449
200,0.357962977,0.059471149,0.168312205,0.051623859,-0.820770691,-1.537369478,1.040833
201,0.454729219,0.187837525,0.151851122,0.131756641,-0.457703771,-0.723808902,0.493710441
203,0.149453267,0.485875958,0.358361714,0.066578824,-0.9097568,-0.237334414,0.950438495
217,0.19205797,0.330375301,0.47450019,0.08450274,0.125246082,-0.037323466,1.33630621
220,0.577586603,0.128838854,0.622570452,0.219000719,-0.737113743,-0.89224237,1.571623365
225,0.463051039,1.130395114,0.478327973,0.270218186,-0.135118964,-0.058890492,1.701714821
226,1.286767959,0.641943853,0.669202506,0.229688941,-1.37502489,-0.01630773,0.946484724
227,0.28363634,0.20315344,0.311563915,0.121617782,-0.482429463,-0.725857025,0.714301948
232,0.45411206,0.105392139,0.358778056,0.0421415,0.041589133,-0.682450574,1
233,0.189605785,0.083539405,0.071883447,0.024123234,0.144291008,0.109542976,1.02824689
236,0.70312175,0.723573751,0.345016065,0.278782307,-0.699023889,-0.598509484,1.2289901
241,0.449550775,0.388927852,0.077610681,0.109904512,-0.751592923,0.818819872,1.182863757
242,0.299494161,0.761896998,0.798604057,0.154821873,0.232012997,0.786017958,0.816496581
243,0.223582159,0.232111527,0.357699938,0.129936497,-0.252800726,-0.966402612,0.758287544
245,0.152363921,0.192966471,0.359942287,0.02541225,-0.138407469,-0.059162891,0.5
251,0.220957174,0.169820212,0.264372263,0.059339551,-1.565448753,-1.484776261,0.273861279
257,0.302442293,0.458514349,0.334172639,0.01230901,-0.179070334,-0.586450907,0.763762616
264,0.345501372,0.049406598,0.41052123,0.091178055,0.05656902,-0.566932005,0.728868987
265,0.418910207,1.027738705,1.34135301,0.017040165,0.125246082,-0.037323466,0.763762616
268,1.658340851,0.672051653,0.358532057,0.376086858,0.023320742,-0.798241543,0.912688337
270,0.391829693,0.447490864,0.071477047,0.179641096,1.006650832,0.96446188,1.169045194
271,0.257333946,0.186285833,0.458423258,0.093765744,-0.19405022,-0.701969477,0.570087713
272,0.274679002,0.06867723,0.196887123,0.041354135,0.918928844,0.287986899,0.75
274,0.186637581,0.176265529,0.138908756,0.146405853,0.144291008,0.109542976,0.832165849
277,0.545496982,0.017621527,0.456215979,0.112476857,0.42370098,0.277976445,1.145643924
280,0.970398288,0.907311685,0.709581068,0.287751056,-0.091348345,0.090024074,1.66145017
283,0.551470371,0.176359806,0.552265742,0.072438984,0.144291008,0.109542976,0.75
287,0.265498308,0.092031455,0.211046386,0.095350408,0.051334938,-0.79592102,0.577350269
293,0.682601621,0.33336086,0.863113399,0.287284117,-0.222064417,-0.704289999,1.384136313
294,0.540931303,0.358542181,0.145022756,0.089683112,-0.355001895,0.068184649,0.75868014
296,NA,NA,NA,NA,-0.091348345,0.090024074,2.32916294
301,0.438413058,0.355439422,0.165655923,0.156534711,0.389676167,0.015591433,0.40824829
305,0.370949802,0.293406343,0.288906829,0.379889235,-0.718068816,-0.745375927,1.505545305
306,0.334364625,0.190989399,0.115065162,0.098656762,0.922993884,0.319334772,0.707695792
308,0.134669088,0.063989306,0.085094878,0.005008937,-0.630346827,-0.068900946,0.577350269
311,0.439485143,0.116903555,0.095471104,0.290696085,0.379930362,0.129061879,0
313,0.390453463,0.212460351,0.287773615,0.161188795,0.295496878,-0.547140703,1.040833
319,0.150423253,0.139881328,0.107860527,0.16886903,-0.615366941,0.046617623,0.961769203
321,0.347998056,0.230075616,0.107363024,0.033026919,0.404656054,0.131110002,0.718070331
322,0.39809269,0.134311276,0.218618765,0.113572796,-0.805790804,-1.421850908,0.553667426
